,gamepk,game_time,stadium,time_zone,field_type,roof_type,weather_sky,temperature,wind,attendance,game_duration,away_final_score,home_final_score,innings_final,pitch_start_time,pitch_end_time,total_half_inning_runs,runs_to_start,runs_to_end,inning,is_top_inning,away_score,home_score,batter,bat_side,pitcher,pitch_hand,pitch_result,pitch_result_code,pitch_type_code,pitch_type_description,balls,strikes,outs,pitch_index,pitch_start_speed,pitch_end_speed,strike_zone_top,strike_zone_bottom,zone,type_confidence,plate_time,extension,px_min,px_max,pz_min,pz_max,px,pz,breaks_angle,breaks_length,breaks_y,break_vertical,break_vertical_induced,break_horizontal,spin_rate,spin_direction,is_first_base,is_second_base,is_third_base,umpire_run_favor,umpire_wp_favor,batted_ball_xba,batted_ball_xslg,at_bat_event,at_bat_event_type,at_bat_description,at_bat_scorebook_notation,at_bat_rbi,batted_ball_launch_speed,batted_ball_launch_angle,batted_ball_total_distance,batted_ball_trajectory,batted_ball_hardness,batted_ball_location,batted_ball_coordinates_x,batted_ball_coordinates_y
0,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:07:02.671Z,2023-10-28T00:07:05.671Z,0,0,0,1,True,0,0,Corbin Carroll,Left,Nathan Eovaldi,Right,Foul,F,FF,Four-Seam Fastball,0,0,0,3,95.2,86.7,3.11927173535723,1.48928225615321,1,0.93,0.3961687146613784,6.672172540123072,0.8293574046427954,-0.8293574046427954,1.3682581848437478,3.2402958066666923,-0.4505179899359127,2.7356348361105147,34.8,4.8,24.0,-15.6,14.8,10.9,2195,226,False,False,False,0.0,0.0,,,,,,,,,,,,,,,
1,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:07:21.709Z,2023-10-28T00:07:24.709Z,0,0,0,1,True,0,0,Corbin Carroll,Left,Nathan Eovaldi,Right,Swinging Strike,S,FF,Four-Seam Fastball,0,1,0,4,95.5,87.6,3.12,1.49,1,0.92,0.39352696863225045,6.677184655560838,0.8293574046427954,-0.8293574046427954,1.3689759286905379,3.2410240713094622,-0.2946380385858221,3.1692899148069413,36.0,4.8,24.0,-16.4,13.4,12.0,2167,233,False,False,False,0.0,0.0,,,,,,,,,,,,,,,
2,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:07:37.890Z,2023-10-28T00:07:44.978Z,0,0,0,1,True,0,0,Corbin Carroll,Left,Nathan Eovaldi,Right,"In play, out(s)",X,FS,Splitter,0,2,0,5,89.0,82.3,3.12,1.49,8,0.91,0.4222602979707517,6.6467875370891205,0.8293574046427954,-0.8293574046427954,1.3689759286905379,3.2410240713094622,0.10275097814595475,1.6500352329470367,24.0,8.4,24.0,-35.0,-0.6,15.2,1765,236,False,False,False,0.0,0.0,0.1642857142857142,0.175,Groundout,field_out,"Corbin Carroll grounds out sharply, first baseman Nathaniel Lowe to pitcher Nathan Eovaldi.",3-1,0.0,108.1,-17.0,7.0,ground_ball,hard,3,173.7,155.08
3,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:08:17.263Z,2023-10-28T00:08:21.545Z,0,0,0,1,True,0,0,Ketel Marte,Left,Nathan Eovaldi,Right,Foul,F,CU,Curveball,0,0,1,0,76.5,70.6,3.58,1.71,9,0.88,0.49229379178702093,6.504511202907352,0.8293574046427954,-0.8293574046427954,1.5889759286905378,3.701024071309462,0.5799736321764329,2.337081477900748,9.6,12.0,24.0,-52.0,-5.2,-8.5,1791,39,False,False,False,0.0,0.0,,,,,,,,,,,,,,,
4,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:08:47.424Z,2023-10-28T00:08:50.538Z,0,0,0,1,True,0,0,Ketel Marte,Left,Nathan Eovaldi,Right,Swinging Strike,S,FS,Splitter,0,1,1,1,89.0,82.3,3.58,1.71,14,0.9,0.422364994098801,6.662709314198571,0.8293574046427954,-0.8293574046427954,1.5889759286905378,3.701024071309462,0.43463228119745345,1.4045637423020607,20.4,8.4,24.0,-34.0,0.5,12.4,1530,233,False,False,False,0.0,0.0,,,,,,,,,,,,,,,
5,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:09:14.295Z,2023-10-28T00:09:18.912Z,0,0,0,1,True,0,0,Ketel Marte,Left,Nathan Eovaldi,Right,Ball,B,FS,Splitter,0,2,1,3,86.9,80.2,3.55397792741453,1.76404596598829,13,0.91,0.43249428372222365,6.4586157997063,0.8293574046427954,-0.8293574046427954,1.643021894678828,3.675001998723992,-1.311060725113602,1.6644428399305462,20.4,8.4,24.0,-35.3,0.8,13.3,1610,236,False,False,False,0.0,0.0,,,,,,,,,,,,,,,
6,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:09:32.705Z,2023-10-28T00:09:37.911Z,0,0,0,1,True,0,0,Ketel Marte,Left,Nathan Eovaldi,Right,Foul,F,FF,Four-Seam Fastball,1,2,1,4,97.7,89.4,3.58,1.71,5,0.93,0.38543147329433625,6.50974527919931,0.8293574046427954,-0.8293574046427954,1.5889759286905378,3.701024071309462,-0.1505985381264769,2.404011581217546,43.2,4.8,24.0,-15.1,13.6,13.8,2283,233,False,False,False,0.0,0.0,,,,,,,,,,,,,,,
7,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:09:55.987Z,2023-10-28T00:09:59.055Z,0,0,0,1,True,0,0,Ketel Marte,Left,Nathan Eovaldi,Right,Ball,B,FS,Splitter,1,2,1,5,84.8,78.3,3.52723841126292,1.70907005881951,14,0.91,0.4441621333119019,6.804553780333064,0.8293574046427954,-0.8293574046427954,1.5880459875100479,3.648262482572382,0.15945533164569073,0.33475871638202087,19.2,8.4,24.0,-36.4,1.7,12.1,1674,242,False,False,False,0.0,0.0,,,,,,,,,,,,,,,
8,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:10:19.389Z,2023-10-28T00:10:26.474Z,0,0,0,1,True,0,0,Ketel Marte,Left,Nathan Eovaldi,Right,"In play, out(s)",X,CU,Curveball,2,2,1,6,77.8,71.3,3.58,1.71,14,0.88,0.48656369704425373,6.955352912778506,0.8293574046427954,-0.8293574046427954,1.5889759286905378,3.701024071309462,0.4504995668904101,1.2101917097099177,7.2,13.2,24.0,-56.8,-11.0,-7.2,2036,39,False,False,False,0.0,0.0,0.1147540983606557,0.1266766020864381,Groundout,field_out,"Ketel Marte grounds out, first baseman Nathaniel Lowe to pitcher Nathan Eovaldi.",3-1,0.0,78.7,-4.0,20.0,ground_ball,medium,3,149.08,176.79
9,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:10:55.790Z,2023-10-28T00:10:59.489Z,0,0,0,1,True,0,0,Gabriel Moreno,Right,Nathan Eovaldi,Right,Ball,B,FF,Four-Seam Fastball,0,0,2,0,96.8,88.9,3.3668406248411,1.55080460571316,12,0.93,0.3886214347697021,6.754514300458743,0.8293574046427954,-0.8293574046427954,1.4297805344036978,3.487864696150562,1.0752005420176243,3.144207067734996,38.4,4.8,24.0,-15.0,14.2,11.8,2179,230,False,False,False,0.0,0.0,,,,,,,,,,,,,,,
10,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:11:13.350Z,2023-10-28T00:11:16.961Z,0,0,0,1,True,0,0,Gabriel Moreno,Right,Nathan Eovaldi,Right,Called Strike,C,FF,Four-Seam Fastball,1,0,2,1,96.9,88.7,3.31242693993526,1.44329132260264,14,0.93,0.3890599024208772,6.803434547304559,0.8293574046427954,-0.8293574046427954,1.322267251293178,3.4334510112447223,0.8929424681854216,2.3075118679482918,40.8,4.8,24.0,-15.8,13.3,13.6,2176,235,False,False,False,0.0397925370437949,0.0037879553774052,,,,,,,,,,,,,,,
11,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:11:30.572Z,2023-10-28T00:11:33.717Z,0,0,0,1,True,0,0,Gabriel Moreno,Right,Nathan Eovaldi,Right,Ball,B,FC,Cutter,1,1,2,2,91.0,83.5,3.31362528804839,1.49770847902759,14,0.91,0.4148158066607954,6.703262862036632,0.8293574046427954,-0.8293574046427954,1.376684407718128,3.434649359357852,1.8347623135064486,1.7477550229785666,8.4,6.0,24.0,-26.4,6.8,-3.8,2408,182,False,False,False,0.0,0.0,,,,,,,,,,,,,,,
12,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:11:50.623Z,2023-10-28T00:11:54.021Z,0,0,0,1,True,0,0,Gabriel Moreno,Right,Nathan Eovaldi,Right,Swinging Strike,S,FS,Splitter,2,1,2,3,88.8,82.1,3.34,1.54,8,0.91,0.4229538931909804,7.021573393890747,0.8293574046427954,-0.8293574046427954,1.418975928690538,3.461024071309462,0.23591832136157184,1.719299619834082,20.4,8.4,24.0,-34.1,0.5,12.6,1617,237,False,False,False,0.0,0.0,,,,,,,,,,,,,,,
13,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:12:22.454Z,2023-10-28T00:12:25.454Z,0,0,0,1,True,0,0,Gabriel Moreno,Right,Nathan Eovaldi,Right,Ball,B,FC,Cutter,2,2,2,5,90.6,83.4,3.20674125934959,1.47105982167889,14,0.88,0.4160433837111315,6.870387620503522,0.8293574046427954,-0.8293574046427954,1.3500357503694278,3.327765330659052,1.986754962898688,1.5411231896883493,10.8,6.0,24.0,-27.2,6.2,-5.5,2333,175,False,False,False,0.0,0.0,,,,,,,,,,,,,,,
14,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:12:37.757Z,2023-10-28T00:12:42.789Z,0,0,0,1,True,0,0,Gabriel Moreno,Right,Nathan Eovaldi,Right,Swinging Strike,S,FS,Splitter,3,2,2,6,88.2,81.6,3.34,1.54,13,0.91,0.4257141607010375,6.572080084961827,0.8293574046427954,-0.8293574046427954,1.418975928690538,3.461024071309462,-0.09745719821589592,1.5104469553936568,22.8,8.4,24.0,-32.8,2.3,13.2,1626,237,False,False,False,0.0,0.0,0.0,0.0,Strikeout,strikeout,Gabriel Moreno strikes out swinging.,Ks,0.0,,,,,,,,
15,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:15:54.701Z,2023-10-28T00:15:58.685Z,2,0,2,1,False,0,0,Marcus Semien,Right,Zac Gallen,Right,Ball,B,FF,Four-Seam Fastball,0,0,0,0,95.1,86.5,3.34035068559147,1.63096786661962,14,0.92,0.39903045431394224,6.60304855059808,0.8293574046427954,-0.8293574046427954,1.5099437953101578,3.4613747569009323,2.1926523702914937,1.3262364605511412,15.6,3.6,24.0,-13.3,17.5,3.5,2280,202,False,False,False,0.0,0.0,,,,,,,,,,,,,,,
16,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:16:09.521Z,2023-10-28T00:16:13.674Z,2,0,2,1,False,0,0,Marcus Semien,Right,Zac Gallen,Right,Called Strike,C,FF,Four-Seam Fastball,1,0,0,1,94.9,86.5,3.34035068559147,1.57766084650001,6,0.92,0.3981825504665264,6.503658062595242,0.8293574046427954,-0.8293574046427954,1.4566367751905478,3.4613747569009323,0.7393710521932294,2.22444709386832,12.0,3.6,24.0,-14.5,16.1,3.1,2226,202,False,False,False,0.0,0.0,,,,,,,,,,,,,,,
17,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:16:24.528Z,2023-10-28T00:16:28.697Z,2,0,2,1,False,0,0,Marcus Semien,Right,Zac Gallen,Right,Foul,F,SL,Slider,1,1,0,2,89.9,82.9,3.25,1.55,2,2.0,0.41780251083477227,6.431525911870631,0.8293574046427954,-0.8293574046427954,1.428975928690538,3.371024071309462,0.19825757452692522,2.962076739138614,10.8,6.0,24.0,-24.5,9.2,-4.9,2474,172,False,False,False,0.0,0.0,,,,,,,,,,,,,,,
18,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:16:44.169Z,2023-10-28T00:16:52.036Z,2,0,2,1,False,0,0,Marcus Semien,Right,Zac Gallen,Right,"In play, out(s)",X,CH,Changeup,1,2,0,3,88.2,80.9,3.25,1.55,7,0.88,0.4269574291628131,6.642788997802223,0.8293574046427954,-0.8293574046427954,1.428975928690538,3.371024071309462,-0.7156267210069056,2.0093971993235566,27.6,7.2,24.0,-26.9,8.3,13.7,1599,236,False,False,False,0.0,0.0,0.1976744186046511,0.2093023255813953,Groundout,field_out,"Marcus Semien grounds out, shortstop Geraldo Perdomo to first baseman Christian Walker.",6-3,0.0,57.0,19.0,122.0,ground_ball,medium,6,105.88,143.91
19,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:17:21.675Z,2023-10-28T00:17:25.605Z,2,0,2,1,False,0,0,Corey Seager,Left,Zac Gallen,Right,Ball,B,FC,Cutter,0,0,1,0,93.5,85.8,3.50074115827721,1.57766084650001,12,0.67,0.4019457128122137,6.408236691261784,0.8293574046427954,-0.8293574046427954,1.4566367751905478,3.6217652295866722,0.2864852137546658,4.062058410796575,3.6,3.6,24.0,-16.7,14.5,-1.1,2417,192,False,False,False,0.0,0.0,,,,,,,,,,,,,,,
20,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:17:37.096Z,2023-10-28T00:17:40.888Z,2,0,2,1,False,0,0,Corey Seager,Left,Zac Gallen,Right,Ball,B,FC,Cutter,1,0,1,1,91.6,84.4,3.52747940092535,1.5510089802602,12,0.9,0.4102093636691606,6.453001420033696,0.8293574046427954,-0.8293574046427954,1.429984908950738,3.648503472234812,0.860156994468102,3.257031217884738,8.4,4.8,24.0,-21.2,11.2,-3.4,2411,180,False,False,False,0.0,0.0,,,,,,,,,,,,,,,
21,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:17:54.770Z,2023-10-28T00:18:00.727Z,2,0,2,1,False,0,0,Corey Seager,Left,Zac Gallen,Right,Ball,B,FF,Four-Seam Fastball,2,0,1,2,95.3,86.8,3.60770559250685,1.60431380483747,12,0.92,0.3964406239711309,6.459122605075851,0.8293574046427954,-0.8293574046427954,1.483289733528008,3.728729663816312,1.2980422930462925,3.2143290593774467,18.0,3.6,24.0,-13.1,17.3,4.1,2371,202,False,False,False,0.0,0.0,,,,,,,,,,,,,,,
22,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:18:11.491Z,2023-10-28T00:18:14.681Z,2,0,2,1,False,0,0,Corey Seager,Left,Zac Gallen,Right,Called Strike,C,FF,Four-Seam Fastball,3,0,1,3,95.5,86.9,3.66119943919646,1.57766084650001,4,0.92,0.3952016504827629,6.51931030926825,0.8293574046427954,-0.8293574046427954,1.4566367751905478,3.782223510505922,-0.6909318886270865,2.7906149806382556,14.4,3.6,24.0,-13.1,17.0,3.4,2290,209,False,False,False,0.0,0.0,,,,,,,,,,,,,,,
23,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:18:26.873Z,2023-10-28T00:18:29.873Z,2,0,2,1,False,0,0,Corey Seager,Left,Zac Gallen,Right,Foul,F,FC,Cutter,3,1,1,4,92.1,84.7,3.47,1.52,3,0.9,0.40811887107498235,6.370355342698972,0.8293574046427954,-0.8293574046427954,1.3989759286905379,3.5910240713094623,0.5937371257610345,3.0402079661108505,7.2,4.8,24.0,-20.0,12.1,-2.4,2369,197,False,False,False,0.0,0.0,,,,,,,,,,,,,,,
24,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:18:49.398Z,2023-10-28T00:18:54.613Z,2,0,2,1,False,0,0,Corey Seager,Left,Zac Gallen,Right,Ball,B,KC,Knuckle Curve,3,2,1,5,81.9,75.7,3.52747940092535,1.57766084650001,14,0.9,0.46097087094440203,6.54686304026841,0.8293574046427954,-0.8293574046427954,1.4566367751905478,3.648503472234812,0.4297897777275139,0.4807504541664409,4.8,12.0,24.0,-52.6,-11.5,-5.2,2396,35,False,False,False,0.0,0.0,,,Walk,walk,Corey Seager walks.,BB,0.0,,,,,,,,
25,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:19:20.444Z,2023-10-28T00:19:24.372Z,2,0,2,1,False,0,0,Evan Carter,Left,Zac Gallen,Right,Called Strike,C,FF,Four-Seam Fastball,0,0,1,0,95.8,86.9,3.66119943919646,1.76425512934065,8,0.93,0.39505216759536976,6.58533835866956,0.8293574046427954,-0.8293574046427954,1.643231058031188,3.782223510505922,0.03045943920049498,2.0978292690724523,19.2,2.4,24.0,-10.9,19.2,3.8,2250,205,True,False,False,0.0,0.0,,,,,,,,,,,,,,,
26,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:19:43.915Z,2023-10-28T00:19:46.915Z,2,0,2,1,False,0,0,Evan Carter,Left,Zac Gallen,Right,Ball,B,FF,Four-Seam Fastball,0,1,1,1,94.9,86.1,3.66119943919646,1.7375953776364,12,0.91,0.3977729149877751,6.268313748324008,0.8293574046427954,-0.8293574046427954,1.6165713063269378,3.782223510505922,0.08399797126577976,5.2494254326032035,7.2,2.4,24.0,-13.0,17.5,1.7,2151,203,True,False,False,0.0,0.0,,,,,,,,,,,,,,,
27,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:20:06.516Z,2023-10-28T00:20:10.476Z,2,0,2,1,False,0,0,Evan Carter,Left,Zac Gallen,Right,Ball,B,CH,Changeup,1,1,1,2,88.0,80.9,3.68794932857356,1.81757816366129,11,0.91,0.4270996797785789,6.5292534723813915,0.8293574046427954,-0.8293574046427954,1.6965540923518279,3.808973399883022,-1.5812983506445504,3.1549663051750736,25.2,8.4,24.0,-32.0,3.1,15.2,1491,230,True,False,False,0.0,0.0,,,,,,,,,,,,,,,
28,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:20:28.613Z,2023-10-28T00:20:31.613Z,2,0,2,1,False,0,0,Evan Carter,Left,Zac Gallen,Right,Foul,F,FF,Four-Seam Fastball,2,1,1,3,95.7,87.1,3.6,1.72,5,0.93,0.3946454679139526,6.663894773978541,0.8293574046427954,-0.8293574046427954,1.5989759286905378,3.7210240713094622,-0.03857296225305217,2.562470450982731,8.4,2.4,24.0,-12.2,17.8,1.8,1997,205,True,False,False,0.0,0.0,,,,,,,,,,,,,,,
29,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:20:58.429Z,2023-10-28T00:21:02.699Z,2,0,2,1,False,0,0,Evan Carter,Left,Zac Gallen,Right,Foul,F,FF,Four-Seam Fastball,2,2,1,4,95.6,87.3,3.6,1.72,7,0.93,0.3946828197661709,6.5528143136332035,0.8293574046427954,-0.8293574046427954,1.5989759286905378,3.7210240713094622,-0.8460823737126926,1.8582418113331665,9.6,2.4,24.0,-12.7,17.3,2.0,2299,203,True,False,False,0.0,0.0,,,,,,,,,,,,,,,
30,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:21:48.922Z,2023-10-28T00:22:03.455Z,2,0,2,1,False,0,0,Evan Carter,Left,Zac Gallen,Right,"In play, run(s)",E,FF,Four-Seam Fastball,2,2,1,5,95.8,87.1,3.6,1.72,5,0.9,0.39419053922234015,6.5635770231789285,0.8293574046427954,-0.8293574046427954,1.5989759286905378,3.7210240713094622,-0.2567194599567805,2.9522777833362683,26.4,3.6,24.0,-13.3,16.7,6.5,2352,205,True,False,False,0.0,0.0,0.5727911646586346,1.1280120481927711,Double,double,Evan Carter doubles (7) on a sharp line drive to center fielder Alek Thomas. Corey Seager scores.,2B,1.0,106.7,17.0,389.0,line_drive,hard,8,164.48,46.75
31,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:22:40.388Z,2023-10-28T00:22:44.058Z,2,1,1,1,False,0,1,Adolis García,Right,Zac Gallen,Right,Ball,B,FF,Four-Seam Fastball,0,0,1,0,95.4,85.9,3.34035068559147,1.63096786661962,13,0.91,0.397992372042256,6.664535823278109,0.8293574046427954,-0.8293574046427954,1.5099437953101578,3.4613747569009323,-1.120520009047479,1.790359321730159,25.2,3.6,24.0,-13.8,16.8,6.5,2347,206,False,True,False,0.0,0.0,,,,,,,,,,,,,,,
32,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:23:02.603Z,2023-10-28T00:23:07.176Z,2,1,1,1,False,0,1,Adolis García,Right,Zac Gallen,Right,Called Strike,C,SL,Slider,1,0,1,1,90.1,82.6,3.3818198643607,1.63024716417846,14,2.0,0.41864636791233156,6.642540142548465,0.8293574046427954,-0.8293574046427954,1.5092230928689978,3.502843935670162,1.0772965679550865,2.1842710713983435,15.6,6.0,24.0,-24.2,9.6,-7.0,2419,174,False,True,False,-0.1048691345467762,-0.0078346601854735,,,,,,,,,,,,,,,
33,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:23:25.609Z,2023-10-28T00:23:29.242Z,2,1,1,1,False,0,1,Adolis García,Right,Zac Gallen,Right,Ball In Dirt,*B,CH,Changeup,1,1,1,2,89.2,81.5,3.23345966319085,1.52435819484127,13,0.9,0.42419989265859126,6.541592791371975,0.8293574046427954,-0.8293574046427954,1.403334123531808,3.3544837345003122,-1.192883878089684,0.6779363019242892,24.0,8.4,24.0,-35.9,-1.2,15.7,1575,228,False,True,False,0.0,0.0,,,,,,,,,,,,,,,
34,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:23:51.503Z,2023-10-28T00:23:54.503Z,2,1,1,1,False,0,1,Adolis García,Right,Zac Gallen,Right,Ball,B,FF,Four-Seam Fastball,2,1,1,3,96.2,87.1,3.34035068559147,1.65927845396665,14,0.93,0.3948274396652214,6.723881184976956,0.8293574046427954,-0.8293574046427954,1.538254382657188,3.4613747569009323,1.0852247645068047,1.19599066016475,22.8,2.4,24.0,-8.4,21.7,3.4,2514,209,False,True,False,0.0,0.0,,,,,,,,,,,,,,,
35,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:24:35.672Z,2023-10-28T00:24:46.678Z,2,1,1,1,False,0,1,Adolis García,Right,Zac Gallen,Right,"In play, run(s)",E,KC,Knuckle Curve,3,1,1,5,82.9,76.2,3.41,1.66,8,0.9,0.45506312833461404,6.452749971040575,0.8293574046427954,-0.8293574046427954,1.5389759286905378,3.5310240713094623,-0.11519910275229381,1.9391899333947265,3.6,10.8,24.0,-48.4,-8.3,-3.2,2410,40,False,True,False,0.0,0.0,0.971830985915493,1.295774647887324,Single,single,Adolis Garcia singles on a sharp line drive to left fielder Lourdes Gurriel Jr. Evan Carter scores.,1B,1.0,116.0,9.0,175.0,line_drive,hard,7,66.06,116.14
36,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:25:58.502Z,2023-10-28T00:26:04.694Z,2,2,0,1,False,0,2,Mitch Garver,Right,Zac Gallen,Right,Ball In Dirt,*B,CH,Changeup,0,0,1,1,89.9,82.8,3.4205376649815,1.52435819484127,14,0.9,0.42014978012471627,6.512255854600337,0.8293574046427954,-0.8293574046427954,1.403334123531808,3.541561736290962,0.616270575526783,0.22011170885342057,24.0,8.4,24.0,-34.9,-0.8,15.2,1745,232,True,False,False,0.0,0.0,,,,,,,,,,,,,,,
37,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:26:28.166Z,2023-10-28T00:26:31.950Z,2,2,0,1,False,0,2,Mitch Garver,Right,Zac Gallen,Right,Called Strike,C,FF,Four-Seam Fastball,1,0,1,2,96.5,88.1,3.44727030650582,1.57928026224576,9,0.92,0.3912505858757087,6.6467543949675045,0.8293574046427954,-0.8293574046427954,1.4582561909362979,3.568294377815282,0.4067614835655823,2.0550538882738567,25.2,2.4,24.0,-11.0,18.6,5.2,2170,207,True,False,False,0.0,0.0,,,,,,,,,,,,,,,
38,748542,2023-10-28T00:05:00Z,Globe Life Field,-5,Artificial Turf,Retractable,Roof Closed,73,"0 mph, None",42472,242,5,6,11,2023-10-28T00:26:49.969Z,2023-10-28T00:26:53.455Z,2,2,0,1,False,0,2,Mitch Garver,Right,Zac Gallen,Right,Foul Tip,T,FF,Four-Seam Fastball,1,1,1,3,95.3,87.0,3.39,1.58,2,0.92,0.39555352578103076,6.677110487080142,0.8293574046427954,-0.8293574046427954,1.458975928690538,3.5110240713094623,-0.0016277789815838666,2.9456836397509596,21.6,2.4,24.0,-11.9,18.4,4.7,2311,206,True,False,False,0.0,0.0,,,,,,,,,,,,,,,
